IncidentNumber,CalYear,PropertyCategory,IncGeo_WardCode,IncGeo_WardNameNew,Easting_rounded,Northing_rounded,IncidentStationGround
003309-08012018,2018,Dwelling,E05009322,Bromley South,538250,182450,Poplar
003451-09012018,2018,Dwelling,E05013882,Cann Hall,539450,186550,Leytonstone
003453-09012018,2018,Dwelling,E05013643,Hendon,523450,188950,Hendon
003465-09012018,2018,Dwelling,E05013631,Childs Hill,524450,186150,West Hampstead
003519-09012018,2018,Dwelling,E05014019,Shaftesbury & Queenstown,529150,177250,Clapham
003534-09012018,2018,Dwelling,E05009333,Spitalfields & Banglatown,533650,181750,Whitechapel
003568-09012018,2018,Dwelling,E05009330,St. Katharine's & Wapping,534450,180050,Shadwell
003646-09012018,2018,Dwelling,E05009368,CAZENOVE,534050,186850,Stoke Newington
003669-09012018,2018,Dwelling,E05013771,Wallington South,529150,162850,Wallington
003710-09012018,2018,Dwelling,E05013774,Barnes,522050,176850,Hammersmith
003719-09012018,2018,Dwelling,E05013724,Hither Green,538850,173850,Lewisham
003720-09012018,2018,Dwelling,E05013761,St. Helier East,526850,167250,Mitcham
003747-09012018,2018,Dwelling,E05013679,Edmonton Green,534550,193450,Edmonton
003763-09012018,2018,Dwelling,E05014075,Charlton Village & Riverside,541150,177850,East Greenwich
003781-09012018,2018,Dwelling,E05013896,Leyton,537750,186450,Leyton
003788-09012018,2018,Dwelling,E05013605,Woodside,531550,190750,Tottenham
003800-09012018,2018,Dwelling,E05014094,Woolwich Dockyard,542350,179250,East Greenwich
003857-10012018,2018,Dwelling,E05009383,SPRINGFIELD,533450,188050,Tottenham
003977-10012018,2018,Dwelling,E05013603,West Green,532650,189650,Tottenham
004020-10012018,2018,Dwelling,E05011225,Erith,550250,178350,Erith
004023-10012018,2018,Dwelling,E05013567,Eastcote,511650,187350,Ruislip
004048-10012018,2018,Dwelling,E05013699,Bunhill,532050,182550,Shoreditch
004076-10012018,2018,Dwelling,E05009384,STAMFORD HILL WEST,533350,187550,Stoke Newington
004104-10012018,2018,Dwelling,E05009375,HAGGERSTON,534450,183550,Bethnal Green
004105-10012018,2018,Dwelling,E05013825,Village,522450,170450,New Malden
004130-10012018,2018,Dwelling,E05013737,Coningham,522750,179550,Hammersmith
004158-10012018,2018,Dwelling,E05013533,Norwood Green,513350,178950,Southall
004209-10012018,2018,Dwelling,E05013882,Cann Hall,539750,186650,Leytonstone
004218-10012018,2018,Other Residential,E05013711,St. Peter's & Canalside,532150,182650,Shoreditch
004233-10012018,2018,Dwelling,E05009387,WOODBERRY DOWN,532150,187250,Stoke Newington
004242-10012018,2018,Dwelling,E05013513,Welsh Harp,521050,186150,Willesden
004246-10012018,2018,Dwelling,E05013642,Golders Green,524550,188750,Hendon
004295-11012018,2018,Dwelling,E05009370,DALSTON,533950,184850,Homerton
004304-11012018,2018,Dwelling,E05013700,Caledonian,530650,183050,Euston
004375-11012018,2018,Dwelling,E05014061,Gascoigne,544650,183350,Barking
004383-11012018,2018,Dwelling,E05013529,North Hanwell,515350,182250,Ealing
004422-11012018,2018,Dwelling,E05011105,Newington,531650,177350,Lambeth
004438-11012018,2018,Dwelling,E05013927,West Ham,539850,183550,Stratford
004521-11012018,2018,Dwelling,E05014092,Woolwich Arsenal,544250,178950,Plumstead
004522-11012018,2018,Dwelling,E05014055,Barking Riverside,546950,183250,Barking
004551-11012018,2018,Other Residential,E05009333,Spitalfields & Banglatown,534350,181650,Whitechapel
004574-11012018,2018,Dwelling,E05014107,Myatt's Fields,531550,176550,Brixton
004575-11012018,2018,Dwelling,E05013533,Norwood Green,513450,178950,Southall
004616-11012018,2018,Other Residential,E05013689,Ponders End,535050,195750,Enfield
004619-11012018,2018,Dwelling,E05013737,Coningham,522250,180050,Hammersmith
004632-11012018,2018,Dwelling,E05014063,Heath,549250,186850,Dagenham
004683-12012018,2018,Dwelling,E05013707,Junction,529050,186750,Kentish Town
004709-12012018,2018,Dwelling,E05013715,Blackheath,538050,176450,Greenwich
004716-12012018,2018,Dwelling,E05014023,Tooting Bec,527750,171750,Tooting
004764-12012018,2018,Dwelling,E05013510,Stonebridge,520650,183850,Park Royal
004796-12012018,2018,Dwelling,E05009325,Lansbury,537550,181650,Poplar
004807-12012018,2018,Dwelling,E05013686,New Southgate,528850,192350,Southgate
004834-12012018,2018,Dwelling,E05013679,Edmonton Green,534850,192450,Edmonton
004884-12012018,2018,Dwelling,E05013655,Camden Town,529150,184150,Kentish Town
004905-12012018,2018,Dwelling,E05013657,Frognal,526250,185250,West Hampstead
004915-12012018,2018,Dwelling,E05013704,Highbury,532350,186150,Stoke Newington
004946-12012018,2018,Dwelling,E05014070,Village,550450,184050,Dagenham
004949-12012018,2018,Dwelling,E05013661,Highgate,527950,186950,Kentish Town
004985-12012018,2018,Dwelling,E05013524,Hanger Hill,519150,182250,Acton
005082-13012018,2018,Dwelling,E05014024,Tooting Broadway,526850,171650,Tooting
005084-13012018,2018,Dwelling,E05013808,West End,529350,180950,Soho
005091-13012018,2018,Dwelling,E05013988,Bickley & Sundridge,543150,169250,Bromley
005097-13012018,2018,Dwelling,E05013499,Cricklewood & Mapesbury,523250,185650,Willesden
005103-13012018,2018,Other Residential,E05014102,Clapham Town,529350,175950,Clapham
005105-13012018,2018,Dwelling,E05013761,St. Helier East,526850,167150,Mitcham
005112-13012018,2018,Dwelling,E05013911,Forest Gate North,539950,185250,Stratford
005206-13012018,2018,Dwelling,E05013669,St. Pancras & Somers Town,529750,183050,Euston
005226-13012018,2018,Dwelling,E05014079,Eltham Town & Avery Hill,544850,174150,Eltham
005279-13012018,2018,Dwelling,E05014102,Clapham Town,530150,176050,Clapham
005283-13012018,2018,Dwelling,E05013572,Hillingdon West,505650,183550,Hillingdon
005288-13012018,2018,Dwelling,E05013907,Canning Town South,539950,181650,Plaistow
005298-13012018,2018,Dwelling,E05013995,Crystal Palace & Anerley,534550,169950,Beckenham
005362-13012018,2018,Dwelling,E05009392,COLVILLE,524850,180850,Kensington
005385-13012018,2018,Dwelling,E05013570,Heathrow Villages,508750,177250,Hayes
005425-13012018,2018,Dwelling,E05013890,Hatch Lane & Highams Park North,539050,192850,Woodford
005440-13012018,2018,Dwelling,E05013942,Old Malden,520950,166950,New Malden
005449-13012018,2018,Dwelling,E05009381,LONDON FIELDS,533950,184450,Shoreditch
005454-13012018,2018,Dwelling,E05011463,Addiscombe West,533350,165550,Croydon
005461-13012018,2018,Dwelling,E05014058,Chadwell Heath,548450,189450,Dagenham
005473-13012018,2018,Dwelling,E05011096,Camberwell Green,532350,177150,Peckham
005476-13012018,2018,Dwelling,E05013496,Alperton,518950,184150,Wembley
005508-14012018,2018,Dwelling,E05013743,Munster,524350,176650,Fulham
005524-14012018,2018,Dwelling,E05013627,Syon & Brentford Lock,516850,177050,Heston
005532-14012018,2018,Dwelling,E05009404,ST. HELEN'S,523850,181350,North Kensington
005553-14012018,2018,Dwelling,E05013584,Yiewsley,506250,180250,Hillingdon
005586-14012018,2018,Dwelling,E05013767,Sutton South,526150,163550,Sutton
005653-14012018,2018,Dwelling,E05014070,Village,550550,184650,Dagenham
005666-14012018,2018,Dwelling,E05013926,Wall End,542850,183450,East Ham
005667-14012018,2018,Dwelling,E05013695,Whitewebbs,534050,198050,Enfield
005717-14012018,2018,Dwelling,E05013569,Hayes Town,509750,179550,Hayes
005729-14012018,2018,Dwelling,E05013911,Forest Gate North,539750,185450,Stratford
005820-14012018,2018,Dwelling,E05013669,St. Pancras & Somers Town,529550,183450,Euston
005822-14012018,2018,Dwelling,E05009327,Mile End,537150,181350,Poplar
005853-14012018,2018,Dwelling,E05014104,Herne Hill & Loughborough Junction,532550,175350,Brixton
005865-14012018,2018,Dwelling,E05013904,Beckton,543250,180950,East Ham
005892-14012018,2018,Dwelling,E05013510,Stonebridge,520550,184150,Park Royal
005910-15012018,2018,Dwelling,E05011110,Peckham,533750,177150,Peckham
005933-15012018,2018,Dwelling,E05014057,Becontree,547250,186650,Dagenham
005977-15012018,2018,Dwelling,E05014070,Village,550450,184050,Dagenham
005987-15012018,2018,Dwelling,E05013528,North Greenford,514450,185050,Northolt
006006-15012018,2018,Dwelling,E05013804,Queen's Park,524750,182750,North Kensington
006036-15012018,2018,Dwelling,E05011116,South Bermondsey,534150,178950,Dockhead
006066-15012018,2018,Dwelling,E05013679,Edmonton Green,534750,192550,Edmonton
006102-15012018,2018,Dwelling,E05013920,Plaistow West & Canning Town East,539950,183150,Plaistow
006155-15012018,2018,Dwelling,E05013979,Rainham & Wennington,553450,182750,Wennington
006165-15012018,2018,Dwelling,E05011117,Surrey Docks,535850,179050,Deptford
006192-15012018,2018,Dwelling,E05013560,Stanmore,516950,192750,Stanmore
006215-15012018,2018,Dwelling,E05013678,Cockfosters,526050,197950,Barnet
006224-15012018,2018,Other Residential,E05011100,Dulwich Village,532250,174750,Brixton
006226-15012018,2018,Dwelling,E05009374,HACKNEY WICK,535950,184950,Homerton
006236-15012018,2018,Dwelling,E05011477,Purley Oaks & Riddlesdown,532350,162450,Purley
006244-15012018,2018,Dwelling,E05009369,CLISSOLD,532850,185850,Stoke Newington
006276-15012018,2018,Dwelling,E05013723,Grove Park,540350,173450,Lee Green
006296-16012018,2018,Dwelling,E05013731,Sydenham,534150,171750,Forest Hill
006298-16012018,2018,Dwelling,E05013651,Woodhouse,527450,192150,Finchley
006301-16012018,2018,Dwelling,E05011112,Rotherhithe,535450,178750,Deptford
006303-16012018,2018,Dwelling,E05009319,Bow East,537350,183750,Homerton
006383-16012018,2018,Dwelling,E05011476,Purley & Woodcote,531450,161650,Purley
006430-16012018,2018,Dwelling,E05011488,West Thornton,530550,167250,Norbury
006441-16012018,2018,Dwelling,E05013564,Belmore,510150,181850,Hillingdon
006442-16012018,2018,Dwelling,E05014117,Vauxhall,530650,178050,Lambeth
006485-16012018,2018,Dwelling,E05013755,Belmont,525950,162850,Sutton
006493-16012018,2018,Dwelling,E05013540,Southfield,520750,179250,Chiswick
006496-16012018,2018,Dwelling,E05013907,Canning Town South,539650,181350,Plaistow
006533-16012018,2018,Dwelling,E05013528,North Greenford,515450,184850,Northolt
006539-16012018,2018,Dwelling,E05013997,Farnborough & Crofton,545050,165450,Orpington
006570-16012018,2018,Dwelling,E05013666,King's Cross,530750,182550,Euston
006588-16012018,2018,Dwelling,E05011223,Crook Log,548550,176350,Bexley
006633-16012018,2018,Dwelling,E05013565,Charville,509650,182650,Hillingdon
006644-16012018,2018,Dwelling,E05013895,Lea Bridge,536650,187350,Leyton
006648-16012018,2018,Dwelling,E05013501,Harlesden & Kensal Green,521650,184150,Willesden
006651-16012018,2018,Dwelling,E05013501,Harlesden & Kensal Green,521750,183050,Park Royal
006656-16012018,2018,Dwelling,E05013804,Queen's Park,524150,182650,North Kensington
006660-16012018,2018,Dwelling,E05013703,Finsbury Park,530850,185950,Holloway
006683-17012018,2018,Dwelling,E05011105,Newington,531850,177450,Lambeth
006689-17012018,2018,Dwelling,E05014007,St. Paul's Cray,546650,169650,Sidcup
006719-17012018,2018,Dwelling,E05013563,West Harrow,514750,188050,Harrow
006720-17012018,2018,Dwelling,E05013743,Munster,524450,177250,Fulham
006787-17012018,2018,Dwelling,E05009394,DALGARNO,523250,181950,North Kensington
006837-17012018,2018,Dwelling,E05013887,Forest,538550,188750,Leyton
006846-17012018,2018,Dwelling,E05013944,Surbiton Hill,518350,166850,Surbiton
006860-17012018,2018,Dwelling,E05014097,Brixton Rush Common,530950,174650,Brixton
006889-17012018,2018,Dwelling,E05014008,West Wickham,539150,165750,Addington
006892-17012018,2018,Dwelling,E05009403,ROYAL HOSPITAL,527750,178650,Chelsea
006937-17012018,2018,Dwelling,E05013713,Tufnell Park,529650,185450,Kentish Town
006951-17012018,2018,Dwelling,E05013751,West Kensington,524550,178250,Hammersmith
006953-17012018,2018,Dwelling,E05014022,Thamesfield,525050,175250,Wandsworth
006968-17012018,2018,Dwelling,E05013685,Lower Edmonton,534750,193750,Edmonton
007010-17012018,2018,Dwelling,E05011484,South Croydon,532450,163550,Croydon
007055-17012018,2018,Dwelling,E05014030,West Putney,523450,174650,Wandsworth
007069-17012018,2018,Dwelling,E05014115,Streatham St. Leonard's,530050,170950,Norbury
007071-17012018,2018,Dwelling,E05009330,St. Katharine's & Wapping,534950,180450,Shadwell
007085-17012018,2018,Dwelling,E05011117,Surrey Docks,536350,180150,Deptford
007130-18012018,2018,Dwelling,E05009392,COLVILLE,524650,180850,North Kensington
007138-18012018,2018,Dwelling,E05014010,Battersea Park,527150,176950,Battersea
007263-18012018,2018,Dwelling,E05013657,Frognal,525750,185350,West Hampstead
007284-18012018,2018,Dwelling,E05009374,HACKNEY WICK,535950,184650,Homerton
007301-18012018,2018,Dwelling,E05013912,Forest Gate South,539850,184950,Stratford
007341-18012018,2018,Dwelling,E05013919,Plaistow South,540750,181950,Plaistow
007344-18012018,2018,Dwelling,E05014017,Roehampton,521950,174250,Wandsworth
007345-18012018,2018,Other Residential,E05013983,St. Edward's,550650,189350,Romford
007387-18012018,2018,Dwelling,E05011231,Slade Green & Northend,551750,177250,Erith
007425-18012018,2018,Dwelling,E05011115,St. Giles,533250,177350,Peckham
007524-18012018,2018,Dwelling,E05013822,Ravensbury,526150,167350,Mitcham
007532-18012018,2018,Dwelling,E05011116,South Bermondsey,534050,179250,Dockhead
007533-18012018,2018,Dwelling,E05009385,STOKE NEWINGTON,533150,186450,Stoke Newington
007542-18012018,2018,Dwelling,E05011230,Sidcup,546950,171250,Sidcup
007559-18012018,2018,Dwelling,E05013720,Downham,539250,171450,Bromley
007579-18012018,2018,Dwelling,E05013784,North Richmond,519150,175450,Richmond
007609-18012018,2018,Dwelling,E05013813,Cricket Green,526850,168850,Mitcham
007626-18012018,2018,Dwelling,E05013904,Beckton,542250,181750,East Ham
007634-18012018,2018,Dwelling,E05013652,Belsize,526850,185150,West Hampstead
007639-19012018,2018,Dwelling,E05014017,Roehampton,521650,175250,Richmond
007648-19012018,2018,Dwelling,E05013708,Laycock,531350,184950,Islington
007724-19012018,2018,Dwelling,E05011234,Aldborough,544750,188450,Ilford
007736-19012018,2018,Dwelling,E05013592,Highgate,528350,188050,Hornsey
007805-19012018,2018,Dwelling,E05011230,Sidcup,546750,171450,Sidcup
007808-19012018,2018,Dwelling,E05014104,Herne Hill & Loughborough Junction,532350,176250,Brixton
007838-19012018,2018,Dwelling,E05014065,Mayesbrook,546650,185750,Barking
007869-19012018,2018,Other Residential,E05013734,Avonmore,524050,178650,Hammersmith
007881-19012018,2018,Dwelling,E05013906,Canning Town North,539650,182150,Plaistow
007883-19012018,2018,Dwelling,E05013504,Kingsbury,520350,188850,Stanmore
007897-19012018,2018,Dwelling,E05013630,Burnt Oak,520050,191350,Mill Hill
007910-19012018,2018,Other Residential,E05014017,Roehampton,522450,173850,Wandsworth
007912-19012018,2018,Dwelling,E05013974,Havering-atte-Bower,549650,191250,Romford
007939-19012018,2018,Dwelling,E05013589,Fortis Green,528050,189750,Hornsey
007944-19012018,2018,Dwelling,E05009377,HOXTON EAST & SHOREDITCH,533250,183350,Shoreditch
007962-19012018,2018,Dwelling,E05014018,St. Mary's,526650,176450,Battersea
008024-19012018,2018,Dwelling,E05013795,Harrow Road,524550,182350,North Kensington
008046-19012018,2018,Dwelling,E05014000,Mottingham,542650,172150,Eltham
008049-19012018,2018,Dwelling,E05013936,King George's & Sunray,520350,166150,Surbiton
008138-20012018,2018,Dwelling,E05013730,Rushey Green,538050,174350,Lewisham
008223-20012018,2018,Dwelling,E05013911,Forest Gate North,540450,185750,Stratford
008256-20012018,2018,Dwelling,E05013561,Wealdstone North,515050,189950,Harrow
008270-20012018,2018,Dwelling,E05013902,William Morris,537050,189850,Walthamstow
008291-20012018,2018,Dwelling,E05013582,Wood End,508550,181250,Hillingdon
008310-20012018,2018,Dwelling,E05014063,Heath,549250,186750,Dagenham
008311-20012018,2018,Dwelling,E05013909,East Ham,542950,183550,East Ham
008327-20012018,2018,Dwelling,E05014103,Gipsy Hill,533050,171350,West Norwood
008365-20012018,2018,Dwelling,E05013904,Beckton,542150,181550,East Ham
008391-20012018,2018,Dwelling,E05014111,Stockwell West & Larkhall,529450,176250,Clapham
008396-20012018,2018,Dwelling,E05009317,Bethnal Green,536050,182350,Bethnal Green
008413-20012018,2018,Dwelling,E05013994,Clock House,534650,168850,Woodside
008438-20012018,2018,Dwelling,E05014058,Chadwell Heath,547950,189750,Dagenham
008439-20012018,2018,Dwelling,E05014112,Streatham Common & Vale,529550,169750,Norbury
008487-20012018,2018,Dwelling,E05013641,Garden Suburb,525450,188150,Finchley
008518-20012018,2018,Dwelling,E05013731,Sydenham,535250,171450,Beckenham
008565-21012018,2018,Dwelling,E05013501,Harlesden & Kensal Green,521050,183650,Park Royal
008589-21012018,2018,Dwelling,E05011489,Woodside,534050,167250,Woodside
008606-21012018,2018,Dwelling,E05011255,Wanstead Village,540650,188950,Leytonstone
008642-21012018,2018,Dwelling,E05013650,Whetstone,526750,193450,Barnet
008646-21012018,2018,Dwelling,E05013802,Pimlico North,529450,178450,Lambeth
008652-21012018,2018,Dwelling,E05013702,Clerkenwell,531550,182850,Islington
008656-21012018,2018,Dwelling,E05013882,Cann Hall,539550,186850,Leytonstone
008659-21012018,2018,Dwelling,E05014083,Kidbrooke Park,541350,176050,Eltham
008670-21012018,2018,Dwelling,E05013986,Upminster,556250,186650,Hornchurch
008685-21012018,2018,Dwelling,E05014108,Oval,530650,177250,Lambeth
008688-21012018,2018,Dwelling,E05009322,Bromley South,537350,182150,Poplar
008700-21012018,2018,Dwelling,E05009375,HAGGERSTON,533750,183350,Shoreditch
008704-21012018,2018,Dwelling,E05013616,Hanworth Village,512050,172750,Feltham
008734-21012018,2018,Dwelling,E05013609,Chiswick Gunnersbury,520150,178450,Chiswick
008745-21012018,2018,Dwelling,E05011484,South Croydon,533250,164550,Croydon
008767-21012018,2018,Dwelling,E05014094,Woolwich Dockyard,542750,178750,East Greenwich
008791-21012018,2018,Dwelling,E05013784,North Richmond,518850,175450,Richmond
008813-21012018,2018,Dwelling,E05013920,Plaistow West & Canning Town East,540550,182050,Plaistow
008819-21012018,2018,Dwelling,E05011230,Sidcup,546250,171850,Sidcup
